,Event,Height,BMI,Age,GDP,x,y
0,Archery Men's Individual,-0.07838690804043678,-0.09111545661576642,0.024227416041552485,0.1643350027620209,0.11607360943972332,0.1345036523440837
1,Archery Men's Team,0.19157881385944145,-0.05731307848102729,-0.2678111665133762,1.3177709249082807,1.013880705499405,-0.48788857130340696
2,"Athletics Men's 1,500 metres",0.05659595290950233,-1.2122784190727425,-0.559849749068305,-0.6535135175311403,-1.2990369057852575,0.382432073898317
3,"Athletics Men's 10,000 metres",-0.7533012127901324,-1.4365110115641364,0.3162659985964812,-0.6733924569949212,-0.35546778464054696,1.669600766715097
4,Athletics Men's 100 metres,-0.07838690804043678,-0.2782969935025747,-0.559849749068305,-0.6903278686375083,-0.8514909587564792,0.181567072233521
5,Athletics Men's 110 metres Hurdles,1.0014759795590762,-0.4593380592696983,-0.2678111665133762,-0.44711129800364413,-0.5988380703572359,-0.6799468607344173
6,Athletics Men's 20 kilometres Walk,-0.4833354908902541,-1.0717420186446667,0.3162659985964812,-0.39075798650521715,-0.17626452932337744,1.1467458643174062
7,Athletics Men's 200 metres,0.19157881385944145,-0.4154209016050275,-0.559849749068305,-0.5975098976711388,-0.820232921939898,-0.002611402076691791
8,"Athletics Men's 3,000 metres Steeplechase",-0.2133697689903759,-1.263685817129102,0.024227416041552485,-0.5576271914453478,-0.436573639121538,1.0384304895612153
9,Athletics Men's 4 x 100 metres Relay,-0.07838690804043678,-0.3803114344746689,-0.559849749068305,-0.5919535137884561,-0.8278265386124248,0.20416279036209697
10,Athletics Men's 4 x 400 metres Relay,0.3265616748093806,-0.6470238931761654,-0.559849749068305,-0.5552203721515276,-0.8806859462782155,-0.04556717439942265
11,Athletics Men's 400 metres,0.19157881385944145,-0.6305691622639279,-0.559849749068305,-0.6767794433252796,-0.9391624674514066,0.08338409002197307
12,Athletics Men's 400 metres Hurdles,0.5965273967092588,-0.6318689076515058,-0.559849749068305,-0.5731342789402756,-0.9115818300141775,-0.3086928985410374
13,"Athletics Men's 5,000 metres",-0.4833354908902541,-1.366975510966702,-0.2678111665133762,-0.6730695939824871,-0.9243054901248693,1.1282242668420916
14,Athletics Men's 50 kilometres Walk,-0.2133697689903759,-1.0444084881014069,0.9003431637063387,-0.12143006284852291,0.4556843131545499,1.1348123116846698
15,Athletics Men's 800 metres,0.19157881385944145,-1.055200395587355,-0.559849749068305,-0.673447293540777,-1.203175523925499,0.21248475983808096
16,Athletics Men's Decathlon,1.1364588405090152,0.1664284084560697,-0.2678111665133762,-0.2805324029585435,-0.3185357251584305,-0.99759887369809
17,Athletics Men's Discus Throw,1.94635600620865,2.464028776341733,0.3162659985964812,-0.4562720811541605,0.4270890434488658,-3.179063062039639
