,Event,Height,BMI,Age,GDP,x,y
0,Archery Women's Individual,-0.06428619232283164,0.02744778947867136,0.027613756083538856,-0.6618689792162004,0.4897853167685762,-0.08704002802498624
1,Archery Women's Team,-0.06428619232283164,0.15168415847143593,-0.21800333750161985,0.09473812813496563,0.004712025022947011,-0.0032577956992652607
2,"Athletics Women's 1,500 metres",-0.4175989241133453,-1.1223501353330254,0.27323084966869754,-0.9168102553941896,1.1522444150186044,0.7148856959885465
3,Athletics Women's 10 kilometres Walk,-0.770911655903859,-0.9237193282823943,0.027613756083538856,0.05272414044143582,0.5393711798899802,0.9805148653838116
4,"Athletics Women's 10,000 metres",-0.9475680217991158,-1.422484847504372,0.27323084966869754,0.07954306083426192,0.636237271546473,1.5232080343306709
5,Athletics Women's 100 metres,-0.4175989241133453,-0.4338381580415693,-0.46362043108677853,-1.1528848947639474,1.374918047387671,0.03133158397551293
6,Athletics Women's 100 metres Hurdles,0.28902653946768203,-0.2335030165695936,0.027613756083538856,-0.6661231471924975,0.44642758251417863,-0.31612940209144663
7,Athletics Women's 20 kilometres Walk,-0.770911655903859,-1.0385455048796652,0.5188479432538562,-0.3062695955286272,0.6143377541540745,1.1918879874654689
8,Athletics Women's 200 metres,-0.06428619232283164,-0.4903437915460677,-0.46362043108677853,-1.117583872957619,1.2167354216414747,-0.21163129684241083
9,"Athletics Women's 3,000 metres",-0.5942552900086021,-1.265937948675649,0.027613756083538856,-0.46617471511461167,1.0095684025552845,0.8824666353723952
10,"Athletics Women's 3,000 metres Steeplechase",-0.24094255821808847,-1.226470001553404,0.27323084966869754,-0.3702653769583631,0.6984364406963639,0.8026059627827571
11,Athletics Women's 4 x 100 metres Relay,-0.24094255821808847,-0.4324100281730866,-0.46362043108677853,-1.1302307231209319,1.2805696055142517,-0.10055382934962143
12,Athletics Women's 4 x 400 metres Relay,0.28902653946768203,-0.5922093811230027,-0.21800333750161985,-0.800114196574195,0.7760977176680206,-0.3394484616068223
13,Athletics Women's 400 metres,0.28902653946768203,-0.6430925590181824,-0.21800333750161985,-1.1098200779434129,1.0289928050988235,-0.3816035455872025
14,Athletics Women's 400 metres Hurdles,0.4656829053629389,-0.6265547382844647,0.027613756083538856,-0.32344259317434393,0.28476413016597446,-0.248812451521109
15,"Athletics Women's 5,000 metres",-0.770911655903859,-1.39373873269907,0.27323084966869754,-0.0782911890021526,0.6770573650764893,1.3339775758230121
16,Athletics Women's 80 metres Hurdles,-0.06428619232283164,-0.2150553565486235,-0.46362043108677853,-1.3089135946407913,1.3032435253723975,-0.3054139730519169
17,Athletics Women's 800 metres,-0.06428619232283164,-0.8457282994167862,-0.21800333750161985,-1.126500063982155,1.281062774466774,-0.011085212083360198
18,Athletics Women's Discus Throw,1.8789338325249936,2.1925876864414486,0.5188479432538562,-1.0136181942357494,-1.1105338019033264,-2.9707493014357462
19,Athletics Women's Hammer Throw,1.1723083689439662,2.3367063658955693,0.027613756083538856,-0.2525062723427827,-1.2722121783322882,-2.405993371476717
20,Athletics Women's Heptathlon,1.1723083689439662,-0.2972704705446015,0.027613756083538856,0.05242561652831295,-0.4085144646006799,-0.8392207158286229
21,Athletics Women's High Jump,1.7022774666297367,-0.994931343055572,-0.21800333750161985,-1.1002940690824068,0.7030364965199374,-2.0323468450200615
22,Athletics Women's Javelin Throw,0.8189956371534526,1.044356405984764,0.1504223028761182,-0.8055832345325955,-0.19528557483425044,-1.4865170496752957
23,Athletics Women's Long Jump,0.6423392712581957,-0.44343067320411317,0.027613756083538856,-1.117583872957619,0.6748315599024056,-0.7646023003089867
24,Athletics Women's Marathon,-0.9475680217991158,-1.33610292071744,1.2556992240093323,-0.45706892121528864,0.47295002175683337,2.062092270636926
25,Athletics Women's Pentathlon,0.8189956371534526,-0.0930171245438984,-0.21800333750161985,-1.234279113350869,0.6021694148750751,-1.1957977797255062
26,Athletics Women's Pole Vault,0.4656829053629389,-0.5431124075097705,0.27323084966869754,0.8713562377719752,-0.8659171856779538,0.32035919991088274
27,Athletics Women's Shot Put,1.7022774666297367,2.8508605394709843,0.27323084966869754,-1.0119762560503887,-1.2023442920475738,-3.3619826383023947
28,Athletics Women's Triple Jump,0.9956520030487094,-0.6850817302096627,0.27323084966869754,-0.8747048130596105,0.34243054417106633,-1.06182317360411
29,Badminton Mixed Doubles,0.11237017357242521,-0.09868956468764375,0.27323084966869754,0.6209785901827461,-0.5566018297890619,0.2903692643890365
30,Badminton Women's Doubles,-0.06428619232283164,0.1035436154093151,0.027613756083538856,0.7818485627160217,-0.6074909039547807,0.30969554181850373
31,Badminton Women's Singles,0.11237017357242521,-0.16015601332655305,-0.21800333750161985,0.669762526363156,-0.4024210281044451,0.1498303657513366
32,Basketball Women's Basketball,2.585559296106021,0.17137539931119197,0.027613756083538856,-0.3702653769583631,-0.7680941951906245,-2.3958256877997894
33,Beach Volleyball Women's Beach Volleyball,2.0555901984202505,-0.10036907088402132,0.7644650368390149,0.8502783776606084,-2.010820580073109,-1.0805671999234951
34,Boxing Women's Flyweight,-0.9475680217991158,-1.0122380650135427,0.7644650368390149,-0.768585518101271,0.8991175685828318,1.4653551187785032
35,Boxing Women's Lightweight,-0.24094255821808847,-0.03864632096956581,0.27323084966869754,-0.015580432391700674,0.03335138992894633,0.3350867738006585
36,Boxing Women's Middleweight,1.348964734839223,1.0944616319987686,0.27323084966869754,2.444464896897117,-2.9885634618620425,-0.5123228580132625
37,"Canoeing Women's Kayak Doubles, 500 metres",0.28902653946768203,0.4688447797685635,-0.21800333750161985,-0.8140489921746074,0.39444496460443534,-0.753412562899857
38,"Canoeing Women's Kayak Fours, 500 metres",0.4656829053629389,0.4373328405223016,-0.21800333750161985,0.05242561652831295,-0.23901002485386208,-0.5314042522781621
39,"Canoeing Women's Kayak Singles, 200 metres",0.28902653946768203,0.5171134942124155,0.5188479432538562,0.18601490266547882,-0.6319531118559721,-0.18487562709249258
40,"Canoeing Women's Kayak Singles, 500 metres",0.28902653946768203,0.4839137174382368,0.027613756083538856,-0.6830341740402551,0.21020581051755147,-0.6532795475517893
41,"Canoeing Women's Kayak Singles, Slalom",-0.24094255821808847,-0.1458732573663416,0.27323084966869754,0.6184490631297671,-0.42898371852751616,0.5486995663661027
42,Cycling Women's 500 metres Time Trial,0.11237017357242521,0.8647486201834365,0.027613756083538856,0.6064233617226529,-0.9138604790955884,-0.23097666004359146
43,Cycling Women's BMX,-0.5942552900086021,0.6834351372951312,-0.7092375246719372,2.549194024651436,-2.750708840199084,0.5816066685937153
44,"Cycling Women's Individual Pursuit, 3,000 metres",0.28902653946768203,-0.17099403801376242,0.5188479432538562,0.7368804430155786,-0.8032835653863992,0.35373760949486394
45,Cycling Women's Individual Time Trial,-0.06428619232283164,-0.6452755029647975,1.0100821304241736,1.8738912257385243,-1.6772460588608817,1.3667878040714143
46,Cycling Women's Keirin,-0.24094255821808847,0.9193858315757968,0.27323084966869754,2.035366834552258,-2.1814237212745127,0.5083689495839849
47,"Cycling Women's Mountainbike, Cross-Country",-0.24094255821808847,-0.8578560089522045,0.7644650368390149,1.2228448429661765,-0.9409846529921474,1.2880172636198806
48,Cycling Women's Omnium,0.11237017357242521,0.056684166596693196,0.3960393964612769,2.3950049931864488,-2.253406476657672,0.7824379710739277
49,Cycling Women's Points Race,0.11237017357242521,-0.1458732573663416,0.27323084966869754,0.6962504225526283,-0.6097443779054186,0.3397955750104586
50,"Cycling Women's Road Race, Individual",-0.06428619232283164,-0.5895043137062954,0.5188479432538562,0.7663603410791362,-0.6141653878992882,0.7668310413620957
51,Cycling Women's Sprint,-0.24094255821808847,0.8400342170927938,0.027613756083538856,0.5846241638404955,-0.7876756325611298,0.027022636203338855
52,Cycling Women's Team Pursuit,0.6423392712581957,-0.025531476999815166,-0.21800333750161985,2.5551316844132157,-2.5922441406964927,0.12748160893711344
53,Cycling Women's Team Sprint,-0.4175989241133453,0.8561830518812115,0.027613756083538856,2.356543900765952,-2.466054420808043,0.6436175666599155
54,Diving Women's Platform,-1.4775371194848863,-0.5547445979653691,-0.9548546182570959,-0.8907397001218577,2.0339479332649724,0.6903217785026059
55,Diving Women's Springboard,-1.1242243876943727,-0.354678253670495,-0.9548546182570959,-0.8907397001218577,1.8119683800095001,0.3645229679725872
56,Diving Women's Synchronized Platform,-1.6541934853801432,-0.7480796228068242,-0.7092375246719372,0.6386877830129205,1.0207046092980812,1.7923795039217238
57,Diving Women's Synchronized Springboard,-0.9475680217991158,-0.32883156549828146,-0.21800333750161985,1.1529322148396604,-0.37035622012424513,1.3368140932855557
58,"Equestrianism Mixed Dressage, Individual",-0.06428619232283164,-0.4276909729055949,2.6065932387277053,0.7818485627160217,-1.5305948310549802,2.3612985076944195
59,"Equestrianism Mixed Dressage, Team",0.11237017357242521,-0.4580437062505624,2.7294017855202846,0.7976542259500178,-1.693104822845418,2.4071697118926028
60,"Equestrianism Mixed Jumping, Individual",-0.06428619232283164,-0.5452488387089138,1.501316317594491,1.3850426946079724,-1.4335746120745099,1.5314441598348218
61,"Equestrianism Mixed Jumping, Team",-0.06428619232283164,-0.5895043137062954,1.501316317594491,1.3520797504010131,-1.3994346521959988,1.5478381585083283
62,"Equestrianism Mixed Three-Day Event, Individual",-0.24094255821808847,-0.4903437915460677,1.501316317594491,1.594458189685893,-1.544799963085914,1.6376050332325782
63,"Equestrianism Mixed Three-Day Event, Team",-0.06428619232283164,-0.354678253670495,1.501316317594491,1.667003020608718,-1.6939909863246168,1.5066897845790668
64,"Fencing Women's Foil, Individual",-0.24094255821808847,-0.2150553565486235,0.27323084966869754,-1.0986730021824005,0.924107850624399,0.19581777803475692
65,"Fencing Women's Foil, Team",-0.06428619232283164,-0.2335030165695936,0.027613756083538856,-1.1333040912525014,0.9585702199599166,-0.08650949429744234
66,"Fencing Women's Sabre, Individual",0.28902653946768203,-0.11240315023506833,0.027613756083538856,-0.23646982619499027,0.11039602271952767,-0.2116716953519833
67,"Fencing Women's Sabre, Team",0.28902653946768203,0.03514591999835038,0.027613756083538856,-0.3062695955286272,0.1123224439605256,-0.2818974107245271
68,"Fencing Women's epee, Individual",0.9956520030487094,-0.354678253670495,0.3960393964612769,0.08964327769054325,-0.5441701137988274,-0.5522547710772802
69,"Fencing Women's epee, Team",0.9956520030487094,-0.39670678146099364,0.5188479432538562,0.03703142264942129,-0.5833608994323908,-0.5466485418798391
70,Football Women's Football,-0.06428619232283164,0.0010773567879487774,0.027613756083538856,1.4686056673398438,-1.2559542974628704,0.5362969091878486
71,Golf Women's Individual,-0.06428619232283164,0.3359238410711555,0.27323084966869754,2.2896735097843184,-2.1868422436120523,0.6887098659124976
72,Gymnastics Women's Balance Beam,-2.007506217170657,-0.9420412621225697,-1.691705899012572,-1.117583872957619,2.9963781802952196,0.7896166133936513
73,Gymnastics Women's Floor Exercise,-2.007506217170657,-0.9420412621225697,-1.691705899012572,-1.117583872957619,2.996378180295345,0.7896166133931831
74,Gymnastics Women's Horse Vault,-2.007506217170657,-0.9693664398669037,-1.691705899012572,-1.1333040912525014,3.010987964498044,0.7891477623053906
75,Gymnastics Women's Individual All-Around,-2.184162583065914,-0.954110711688341,-1.691705899012572,-1.117583872957619,3.0869932508426414,0.9276958748015394
76,Gymnastics Women's Team All-Around,-2.184162583065914,-1.0004499187689475,-1.691705899012572,-1.117583872957619,3.098820971308831,0.9352608673364234
77,Gymnastics Women's Uneven Bars,-2.007506217170657,-0.9395115989463595,-1.691705899012572,-1.117583872957619,2.995719141246929,0.7891308750409942
78,Handball Women's Handball,1.1723083689439662,0.3371457115570418,0.27323084966869754,-0.31120246963017467,-0.45022335056591295,-1.0951436721949803
79,Hockey Women's Hockey,-0.4175989241133453,0.06280887478047849,0.027613756083538856,0.5628249659583382,-0.2837618932398745,0.5258950952737141
80,Judo Women's Extra-Lightweight,-2.007506217170657,-0.6830743127065144,-0.21800333750161985,-0.4674476865906157,1.5843281270621068,1.6277040020684257
81,Judo Women's Half-Heavyweight,0.8189956371534526,1.5011439265787008,0.027613756083538856,0.47341336176084664,-1.2881709198584954,-1.1510744470661212
82,Judo Women's Half-Lightweight,-1.4775371194848863,-0.3258094354422531,-0.21800333750161985,0.09983297857938798,0.8755238583247471,1.2913519407754137
83,Judo Women's Half-Middleweight,-0.5942552900086021,0.6071364076984402,0.027613756083538856,0.47341336176084664,-0.32764657307205713,0.6289693392923007
84,Judo Women's Heavyweight,1.1723083689439662,5.08059167889745,0.27323084966869754,-0.3702653769583631,-2.884674351404299,-4.477378293511864
85,Judo Women's Lightweight,-1.1242243876943727,0.04760028873394006,0.27323084966869754,0.47709346131399116,-0.04761473009893678,1.2047818033588933
86,Judo Women's Middleweight,0.3773547224153105,0.9390188150129573,0.027613756083538856,0.05484364740006377,-0.5589024924624632,-0.7011525641913865
87,Modern Pentathlon Women's Individual,0.28902653946768203,-0.661120252349795,0.027613756083538856,-0.05951065706195622,0.16100428187582913,0.0047203712917704655
88,Rhythmic Gymnastics Women's Group,0.11237017357242521,-1.7824390444741025,-1.691705899012572,-0.3356827167185132,2.4049530231367773,-0.6782728835562446
89,Rhythmic Gymnastics Women's Individual,-0.4175989241133453,-1.8908589833204061,-1.4460888054274132,-0.5910497194322222,2.493346288158413,-0.14989403872827903
90,Rowing Women's Coxed Eights,2.0555901984202505,0.43624442834267224,0.027613756083538856,0.47341336176084664,-1.2943819710775288,-1.6137405624050254
91,Rowing Women's Coxed Fours,1.1723083689439662,0.46329784644438204,-0.46362043108677853,-0.9492838632535251,0.2623308414830336,-1.5829449271513796
92,Rowing Women's Coxed Quadruple Sculls,0.9956520030487094,0.27138697745128193,-0.46362043108677853,-0.8585965334388007,0.3345456040477123,-1.3252210976760175
93,Rowing Women's Coxless Fours,2.0555901984202505,0.6360552670111657,0.027613756083538856,0.5179498461661485,-1.3825674675184803,-1.6523636971237738
94,Rowing Women's Coxless Pairs,2.0555901984202505,0.4351560161630414,0.027613756083538856,-0.15706500716965577,-0.8246795393751558,-1.8497597615394872
95,Rowing Women's Double Sculls,1.7022774666297367,0.49737241007481614,0.027613756083538856,0.040702394889050225,-0.8368238620884987,-1.4796125016329869
96,Rowing Women's Lightweight Double Sculls,0.6423392712581957,-0.6981810189429998,0.27323084966869754,0.7818485627160217,-0.8904724660566314,0.21922949132873967
