Event,Sex,Age,Height,Weight,NOC
Boxing Men's Light-Welterweight,M,23.06367924528302,173.05188679245282,63.69221698113208,DEU
Boxing Men's Lightweight,M,23.138173302107727,170.21779859484778,60.18384074941452,USA
Boxing Men's Middleweight,M,23.893175074183976,179.49554896142433,74.99554896142433,DEU
Boxing Men's Super-Heavyweight,M,24.96875,190.25,99.27734375,DEU
Boxing Men's Welterweight,M,23.36829836829837,174.96969696969697,67.3951048951049,DEU
Boxing Women's Flyweight,F,27.523809523809526,162.0,50.95238095238095,BGR
Boxing Women's Lightweight,F,26.68421052631579,167.78947368421052,60.0,BRA
Boxing Women's Middleweight,F,25.894736842105264,176.94736842105263,75.10526315789474,BRA
"Canoeing Men's Canadian Doubles, 1,000 metres",M,24.956410256410255,179.02820512820512,78.3076923076923,DEU
"Canoeing Men's Canadian Doubles, 500 metres",M,25.505836575875488,179.67315175097275,79.6692607003891,DEU
"Canoeing Men's Canadian Doubles, Slalom",M,26.3542600896861,176.65470852017938,72.60986547085201,DEU
"Canoeing Men's Canadian Singles, 1,000 metres",M,25.356828193832598,181.22907488986783,81.7136563876652,DEU
"Canoeing Men's Canadian Singles, 200 metres",M,25.34,182.68,85.02,AUS
"Canoeing Men's Canadian Singles, 500 metres",M,25.125874125874127,181.34265734265733,82.67832167832168,DEU
"Canoeing Men's Canadian Singles, Slalom",M,25.21472392638037,179.07361963190183,73.97546012269939,DEU
"Canoeing Men's Kayak Doubles, 1,000 metres",M,25.564575645756456,182.0239852398524,80.2859778597786,DEU
"Canoeing Men's Kayak Doubles, 200 metres",M,26.942307692307693,183.09615384615384,85.32692307692308,AUS
"Canoeing Men's Kayak Doubles, 500 metres",M,25.0,183.05464480874318,82.57650273224044,DEU
"Canoeing Men's Kayak Fours, 1,000 metres",M,25.224787363304984,183.59416767922235,82.4823815309842,DEU
Canoeing Men's Kayak Relay 4 x 500 metres,M,25.78082191780822,177.0,75.1917808219178,FRA
"Canoeing Men's Kayak Singles, 1,000 metres",M,25.624615384615385,182.6,81.34461538461538,DEU
"Canoeing Men's Kayak Singles, 200 metres",M,27.61904761904762,183.52380952380952,87.26190476190476,AUS
"Canoeing Men's Kayak Singles, 500 metres",M,25.341346153846153,183.72115384615384,83.32211538461539,DEU
"Canoeing Men's Kayak Singles, Slalom",M,25.719298245614034,177.85526315789474,72.8859649122807,DEU
"Canoeing Women's Kayak Doubles, 500 metres",F,24.8775,169.475,65.105,DEU
"Canoeing Women's Kayak Fours, 500 metres",F,25.01496259351621,171.09476309226932,66.44389027431421,DEU
"Canoeing Women's Kayak Singles, 200 metres",F,27.545454545454547,169.05454545454546,65.41818181818182,CAN
"Canoeing Women's Kayak Singles, 500 metres",F,25.637096774193548,169.63709677419354,65.37096774193549,DEU
"Canoeing Women's Kayak Singles, Slalom",F,25.730538922155688,166.79640718562874,59.74850299401198,DEU
"Cycling Men's 1,000 metres Time Trial",M,23.291666666666668,178.12847222222223,76.49826388888889,DEU
Cycling Men's 100 kilometres Team Time Trial,M,23.596907216494845,176.880412371134,70.56134020618556,DEU
Cycling Men's BMX,M,23.91578947368421,180.54736842105262,82.92631578947369,AUS
"Cycling Men's Individual Pursuit, 4,000 metres",M,23.54054054054054,180.28957528957528,73.8050193050193,DEU
Cycling Men's Individual Time Trial,M,28.450892857142858,180.76339285714286,70.59821428571429,DEU
Cycling Men's Keirin,M,26.63063063063063,179.64864864864865,84.8018018018018,DEU
Cycling Men's Madison,M,28.50526315789474,180.62105263157895,73.42105263157895,ARG
"Cycling Men's Mountainbike, Cross-Country",M,27.595744680851062,177.20567375886526,67.30496453900709,CHE
Cycling Men's Omnium,M,25.5,179.33333333333334,73.08333333333333,AUS
Cycling Men's Points Race,M,25.797029702970296,177.2128712871287,70.52970297029702,DEU
"Cycling Men's Road Race, Individual",M,25.43026121241991,176.90389354361756,69.28807294233613,DEU
Cycling Men's Sprint,M,23.828282828282827,177.32828282828282,78.02525252525253,DEU
"Cycling Men's Tandem Sprint, 2,000 metres",M,23.333333333333332,174.43809523809523,72.84761904761905,DEU
"Cycling Men's Team Pursuit, 4,000 metres",M,23.23548387096774,179.90430107526882,73.44086021505376,DEU
Cycling Men's Team Sprint,M,25.91764705882353,179.5705882352941,84.82941176470588,AUS
Cycling Women's 500 metres Time Trial,F,25.655172413793103,168.86206896551724,68.58620689655173,AUS
Cycling Women's BMX,F,22.958333333333332,165.89583333333334,64.375,AUS
"Cycling Women's Individual Pursuit, 3,000 metres",F,27.4,169.38333333333333,61.166666666666664,AUS
Cycling Women's Individual Time Trial,F,29.431654676258994,168.83453237410072,57.597122302158276,CAN
Cycling Women's Keirin,F,25.844444444444445,166.6888888888889,65.68888888888888,AUS
"Cycling Women's Mountainbike, Cross-Country",F,28.46820809248555,166.67630057803467,54.90173410404624,CAN
Cycling Women's Omnium,F,26.805555555555557,168.47222222222223,61.583333333333336,AUS
Cycling Women's Points Race,F,26.68831168831169,168.7012987012987,61.064935064935064,AUS
"Cycling Women's Road Race, Individual",F,26.91106719367589,168.01383399209487,57.537549407114625,DEU
Cycling Women's Sprint,F,25.24137931034483,167.24137931034483,66.45689655172414,RUS
Cycling Women's Team Pursuit,F,25.253521126760564,171.35211267605635,63.647887323943664,AUS
Cycling Women's Team Sprint,F,25.68421052631579,166.8684210526316,65.86842105263158,AUS
Diving Men's Platform,M,22.07600950118765,170.98812351543944,65.47743467933492,DEU
Diving Men's Springboard,M,23.043478260869566,172.33638443935928,68.41762013729978,DEU
Diving Men's Synchronized Platform,M,22.8125,171.25,65.2375,CHN
Diving Men's Synchronized Springboard,M,24.95,172.525,69.3875,CHN
Diving Women's Platform,F,21.205333333333332,160.624,52.717333333333336,DEU
Diving Women's Springboard,F,21.629722921914357,162.13853904282115,54.785894206549116,DEU
Diving Women's Synchronized Platform,F,21.45,159.3125,50.7375,CAN
Diving Women's Synchronized Springboard,F,23.8,162.45,54.8,AUS
"Equestrianism Men's Three-Day Event, Individual",M,31.87142857142857,175.35714285714286,69.17142857142858,ARG
"Equestrianism Men's Three-Day Event, Team",M,31.855072463768117,175.34782608695653,69.08695652173913,ARG
"Equestrianism Mixed Dressage, Individual",F,36.26162790697674,168.39825581395348,59.32848837209303,CAN
"Equestrianism Mixed Dressage, Individual",M,39.417840375586856,177.99530516431926,72.55868544600939,DEU
"Equestrianism Mixed Dressage, Team",F,36.67307692307692,168.7423076923077,59.33846153846154,CAN
"Equestrianism Mixed Dressage, Team",M,39.455089820359284,178.80838323353294,73.26347305389221,DEU
"Equestrianism Mixed Jumping, Individual",F,31.560747663551403,166.82242990654206,56.33644859813084,USA
"Equestrianism Mixed Jumping, Individual",M,34.28035043804756,176.54693366708386,71.48560700876095,DEU
"Equestrianism Mixed Jumping, Team",F,31.396039603960396,166.9108910891089,56.554455445544555,USA
"Equestrianism Mixed Jumping, Team",M,34.12742382271468,176.42659279778394,71.4854570637119,DEU
"Equestrianism Mixed Three-Day Event, Individual",F,31.976608187134502,166.96491228070175,58.21052631578947,GBR
"Equestrianism Mixed Three-Day Event, Individual",M,32.75085324232082,176.61433447098977,70.02559726962457,DEU
"Equestrianism Mixed Three-Day Event, Team",F,31.796296296296298,167.61111111111111,58.839506172839506,GBR
"Equestrianism Mixed Three-Day Event, Team",M,32.917857142857144,176.7982142857143,70.13928571428572,DEU
"Fencing Men's Foil, Individual",M,25.80394922425952,178.9971791255289,73.49083215796897,DEU
"Fencing Men's Foil, Team",M,26.104827586206895,178.67172413793102,73.0648275862069,DEU
"Fencing Men's Sabre, Individual",M,27.29459901800327,179.88216039279868,76.00981996726678,ITA
"Fencing Men's Sabre, Team",M,27.633281972265024,179.59013867488443,75.61633281972264,ITA
"Fencing Men's epee, Individual",M,27.516414141414142,182.9090909090909,77.18434343434343,FRA
"Fencing Men's epee, Team",M,27.393939393939394,182.94405594405595,76.67191142191142,FRA
"Fencing Women's Foil, Individual",F,26.039383561643834,167.30479452054794,59.43150684931507,ITA
"Fencing Women's Foil, Team",F,25.8135593220339,167.55593220338983,59.62881355932203,ITA
"Fencing Women's Sabre, Individual",F,25.022900763358777,169.77862595419847,62.18320610687023,USA
"Fencing Women's Sabre, Team",F,25.316666666666666,169.88333333333333,63.0,FRA
